target_lastauthor_year,sensitivity,include,how_close,status,academic_year,subfield,target_year,stanford_internal,open_data,open_materials,target_on_turk,replication_on_turk,within_between,single_vignette,repeated_measure,target_N,target_raw_stat,same_dir,replication_N,replication_raw_stat,replicated_instructor_code,replicated_report_code,adjudicated_replication_code,target_df_1,target_df_2,target_tstat,target_fstat,target_p_calc,target_d_calc,target_d_calc_se,target_N_calc,target_ES,target_SE,rep_df_1,rep_df_2,rep_tstat,rep_fstat,rep_p_calc,rep_d_calc,rep_d_calc_se,rep_N_calc,rep_ES,rep_SE,predInt,predInt_from_d,p_orig,p_orig_from_d,predInt_with_tau,p_orig_with_tau,sub_rep
daw2011,NA,exp,close,done,2022-2023,cognitive,2011,no,no,no,no,yes,within,0,201,17,NA,no,40,bseb=0.0533074(0.1674285),0,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0533074,0.1674285,NA,NA,NA,NA,NA,NA,0.25
dehaene2009,NA,exp,close,done,2022-2023,cognitive,2010,no,no,no,no,yes,mixed,0,280,26,NA,NA,23,NA,0.5,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
djärv2017,NA,pred_int,very close,done,2022-2023,non-psych,2018,no,no,no,no,yes,within,0,24,62,bse:b=0.8605(0.2108),yes,60,bse:b=0.8082(0.2215),1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8605,0.2108,NA,NA,NA,NA,NA,NA,NA,NA,0.8082,0.2215,TRUE,NA,0.8641920740201081,NA,NA,NA,1
feinberg2013,NA,exp,very close,done,2012-2013,social,2013,no,no,no,no,yes,between,1,1,308,NA,no,68,t(38)=-1.57,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1.57,NA,0.12470561418433646,-0.49647759264643554,0.10308112500000001,40,NA,NA,NA,NA,NA,NA,NA,NA,0
fischer2008,exp,pred_int,close,done,2011-2012,social,2008,no,no,no,no,yes,between,1,1,155,"prop:8/26,21/26",yes,215,"prop:29/38,33/38",0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.119025400531902,NA,NA,NA,NA,NA,NA,NA,NA,0.10526315789473684,0.08811085278985552,FALSE,NA,0.007686827392253237,NA,NA,NA,0
fu2014,no,stats,far,done,2014-2015,social,2014,yes,no,no,no,yes,between,1,1,117,"F(1,113)=6.12",no,20,"F(1,14)=.06",0,0,NA,1,113,NA,6.12,0.014852959166935882,0.46137789849253874,0.03570812854442344,115,NA,NA,1,14,NA,0.06,0.8100498561576261,-0.1224744871391589,0.25046875,16,NA,NA,FALSE,FALSE,0.021015552656118874,0.021015552656118874,TRUE,0.07578156608927245,0
galperin2020,NA,stats,far,done,2021-2022,non-psych,2020,no,no,no,no,yes,between,1,1,212,"MSD2:m1=6.04(1.18),m2=5.17(1.46)",no,137,"MSD2:m1=5.65(0.889),m2=5.56(1.34)",0,0,NA,210,NA,9.520451133446146,NA,4.308471813202829e-18,0.6554148853693192,0.01988105818859358,NA,0.8700000000000001,0.09138222420402084,135,NA,0.9230374778736959,NA,0.35763445711805963,-0.07914981074442433,0.02921994413336087,NA,-0.09000000000000075,0.09750416657763913,FALSE,FALSE,6.776801342311956e-13,0,FALSE,5.617951009595501e-4,0
goff2014,no,stats,close,done,2018-2019,social,2014,no,no,no,no,yes,between,0,6,123,t(80)=3.2923,no,50,t(181.6)=0.46732,0,0,NA,NA,80,3.2923,NA,0.0014806698605667776,0.7271474265924345,0.05200453280487805,82,NA,NA,NA,181.6,0.46732,NA,0.6408311977614969,-0.06897759138509955,0.0217994496408314,183.6,NA,NA,FALSE,FALSE,0,0,FALSE,2.5086722099199044e-4,0
gong2019,NA,exp,far,cannot tell direction in target,2017-2018,social,2019,no,no,no,no,yes,mixed,0,28,155,"F(1,134)=4.03",NA,90,"F(1,70)=.06",0,0,NA,1,134,NA,4.03,0.04670909527753502,0.17342037615479805,0.029522333187006145,136,NA,NA,1,70,NA,0.06,0.8072125952509879,NA,0.05556150793650794,72,NA,NA,NA,NA,NA,NA,NA,NA,0
griffiths2006,NA,exp,very close,done,2012-2013,cognitive,2006,no,no,no,no,yes,within,0,5,350,NA,NA,349,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
henderson2008,exp,stats,very close,done,2011-2012,social,2008,no,no,no,no,yes,between,1,1,123,"MSD2:m1=2.46(.55),m2=2.80(.66)",no,23,"MSD2:m1=3.28(1.51),m2=2.55(.58)",0,0,NA,121,NA,-6.181818181818179,NA,8.860986199935114e-9,0.5596755209901143,0.0337936450764047,NA,0.33999999999999986,0.055,21,NA,2.9935659395119396,NA,0.006922846860758067,-0.6382304027617015,0.18276821841324703,NA,-0.73,0.2438563287899436,FALSE,FALSE,1.8663206767799423e-5,1.1560663537579785e-10,FALSE,1.9413390921263485e-5,0
huntingtonklein2018,NA,pred_int,far,done,2022-2023,non-psych,2018,no,no,no,no,yes,within,0,6,484,bse:b=.07(.01),yes,102,bse:b=.061(.04),0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.061,0.04,TRUE,NA,0.8272093495267347,NA,NA,NA,0.5
jones2006,exp,stats,close,done,2012-2013,cognitive,2006,no,no,no,no,yes,within,0,64,60,"F(1,59)=77.05",yes,39,"F(1,76)=5.007",1,1,NA,1,59,NA,77.05,2.684529294768275e-12,1.1427739073805592,0.07627813281467075,61,NA,NA,1,76,NA,5.007,0.028174734104088304,0.25667407143567966,0.05170436909581646,78,NA,NA,FALSE,FALSE,0,0,FALSE,1.1159827015450041e-4,1
